time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
1,0.0125,17.0988,0.0125,348.083,300,0.0034153
2,0.0124998,17.0985,0.0124998,389.116,299.999,0.0495627
3,0.0124983,17.0949,0.0124981,417.625,299.996,0.275934
4,0.0124937,17.0855,0.0124933,436.278,299.992,0.467903
5,0.012488,17.0742,0.0124877,455.908,299.987,0.447032
6,0.0124826,17.0634,0.0124823,475.106,299.983,0.44334
7,0.0124774,17.053,0.0124771,492.445,299.98,0.424086
8,0.0124723,17.0428,0.012472,508.095,299.976,0.406102
9,0.0124674,17.033,0.0124671,522.503,299.973,0.396789
10,0.0124626,17.0235,0.0124623,535.719,299.97,0.382381
11,0.012458,17.0143,0.0124577,547.951,299.967,0.371069
12,0.0124535,17.0053,0.0124533,559.305,299.964,0.362122
13,0.0124491,16.9966,0.0124489,569.771,299.955,0.355862
14,0.0124449,16.988,0.0124446,579.651,299.952,0.343869
15,0.0124407,16.9797,0.0124405,588.925,299.95,0.335633
16,0.0124367,16.9715,0.0124364,597.647,299.948,0.330051
17,0.0124327,16.9635,0.0124325,605.859,299.945,0.324295
18,0.0124288,16.9556,0.0124286,613.61,299.943,0.320102
19,0.012425,16.9478,0.0124248,620.938,299.941,0.316318
20,0.0124213,16.94,0.012421,627.879,299.939,0.313862
21,0.0124176,16.9324,0.0124174,634.465,299.937,0.312122
22,0.012414,16.9247,0.0124138,640.724,299.935,0.31171
23,0.0124104,16.917,0.0124102,646.681,299.933,0.312201
24,0.012407,16.9093,0.0124067,652.359,299.931,0.314067
25,0.0124035,16.9016,0.0124033,657.777,299.929,0.317003
26,0.0124001,16.8937,0.0123999,662.955,299.927,0.32133
27,0.0123968,16.8858,0.0123966,667.908,299.925,0.326887
28,0.0123935,16.8777,0.0123933,672.653,299.924,0.333808
29,0.0123903,16.8694,0.0123901,677.202,299.922,0.342076
30,0.0123871,16.8608,0.0123869,681.569,299.92,0.351653
31,0.0123839,16.852,0.0123837,685.766,299.918,0.362604
32,0.0123808,16.843,0.0123806,689.802,299.917,0.374802
33,0.0123777,16.8336,0.0123775,693.688,299.915,0.388285
34,0.0123747,16.8239,0.0123745,697.433,299.913,0.402934
35,0.0123717,16.8138,0.0123715,701.045,299.912,0.418685
36,0.0123687,16.8033,0.0123685,704.532,299.91,0.435454
37,0.0123658,16.7923,0.0123656,707.902,299.909,0.453097
38,0.0123629,16.781,0.0123627,711.159,299.907,0.471517
39,0.01236,16.7691,0.0123598,714.312,299.906,0.490551
40,0.0123572,16.7568,0.012357,717.364,299.904,0.510052
41,0.0123543,16.744,0.0123542,720.323,299.903,0.529863
42,0.0123516,16.7308,0.0123514,723.191,299.902,0.549806
43,0.0123488,16.7169,0.0123486,725.88,299.894,0.573224
44,0.012346,16.7026,0.0123459,728.589,299.892,0.590441
45,0.0123433,16.6879,0.0123432,731.216,299.891,0.608761
46,0.0123406,16.6727,0.0123405,733.768,299.89,0.627144
47,0.012338,16.6571,0.0123378,736.248,299.889,0.645094
