time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
1,0.0125,17.0988,0.0125,348.083,300,0.0034153
2,0.0124998,17.0985,0.0124998,389.116,299.999,0.0495627
3,0.0124983,17.0949,0.0124981,417.625,299.996,0.275934
4,0.0124937,17.0855,0.0124933,436.278,299.992,0.467903
5,0.012488,17.0742,0.0124877,455.908,299.987,0.447033
6,0.0124826,17.0634,0.0124823,475.106,299.983,0.443341
7,0.0124774,17.053,0.0124771,492.445,299.98,0.424089
8,0.0124723,17.0428,0.012472,508.094,299.976,0.406111
9,0.0124674,17.033,0.0124671,522.503,299.973,0.396808
10,0.0124626,17.0235,0.0124623,535.718,299.97,0.38242
11,0.012458,17.0143,0.0124577,547.949,299.967,0.371149
12,0.0124535,17.0054,0.0124532,559.301,299.964,0.362259
13,0.0124491,16.9965,0.0124488,569.764,299.955,0.356103
14,0.0124448,16.988,0.0124446,579.639,299.952,0.344245
15,0.0124406,16.9797,0.0124404,588.905,299.95,0.336202
16,0.0124365,16.9715,0.0124363,597.616,299.948,0.330914
17,0.0124325,16.9634,0.0124322,605.811,299.945,0.325502
18,0.0124284,16.9555,0.0124282,613.539,299.943,0.321832
19,0.0124244,16.9476,0.0124242,620.837,299.941,0.318619
20,0.0124205,16.9398,0.0124202,627.738,299.939,0.316982
21,0.0124165,16.9321,0.0124162,634.273,299.936,0.316172
22,0.0124124,16.9243,0.0124122,640.468,299.934,0.316943
23,0.0124083,16.9165,0.0124081,646.345,299.932,0.31878
24,0.0124042,16.9086,0.0124039,651.925,299.93,0.322258
25,0.0123999,16.9006,0.0123997,657.226,299.927,0.32702
26,0.0123955,16.8925,0.0123953,662.264,299.925,0.33344
27,0.012391,16.8842,0.0123907,667.053,299.922,0.341344
28,0.0123863,16.8757,0.012386,671.607,299.919,0.350875
29,0.0123813,16.8669,0.012381,675.936,299.917,0.362027
30,0.0123761,16.8579,0.0123758,680.053,299.914,0.374751
31,0.0123707,16.8485,0.0123703,683.966,299.91,0.389118
32,0.0123649,16.8388,0.0123646,687.685,299.907,0.40501
33,0.0123589,16.8286,0.0123585,691.219,299.903,0.422434
34,0.0123524,16.818,0.012352,694.574,299.9,0.44131
35,0.0123456,16.8068,0.0123452,697.668,299.886,0.464139
36,0.0123384,16.7952,0.0123379,700.694,299.882,0.483445
37,0.0123308,16.7831,0.0123303,703.56,299.877,0.505416
38,0.0123227,16.7704,0.0123222,706.275,299.873,0.528954
39,0.0123142,16.7571,0.0123137,708.846,299.868,0.553624
40,0.0123052,16.7433,0.0123046,711.28,299.863,0.579172
41,0.0122958,16.7288,0.0122951,713.582,299.857,0.60542
42,0.0122858,16.7136,0.0122852,715.759,299.851,0.632227
43,0.0122753,16.6978,0.0122747,717.815,299.845,0.659451
44,0.0122644,16.6814,0.0122637,719.757,299.839,0.68696
45,0.0122529,16.6643,0.0122521,721.589,299.833,0.714635
46,0.0122409,16.6464,0.0122401,723.232,299.817,0.744545
47,0.0122283,16.628,0.0122275,724.864,299.81,0.770608
